experiment,Grid GHG intensity,Light-duty vehicles: % of LDV stock: EV,Light-duty vehicles: % of LDV stock: PHEV,Trucks: % of MDT stock: EV,Transit vehicles: % of transit bus fleet: EV,Transit vehicles: % of school bus fleet: EV,Transit vehicles: % of commuter rail electrified,Land Use,Prior drive mode share of new riders: bus,Prior drive mode share of new riders: urban rail,Operational improvements: Ridership elasticity,Operational improvements: One-way length of bus routes w/op. improvements,Operational improvements: % travel time savings,New service: New one-way route-miles: rapid bus,New service: New one-way route-miles: urban rail,New service: Average load factor: new rapid bus,New service: Average load factor: new urban rail,New service: Fuel type of new bus service,Active Transportation: Use growth factor or elasticity?,Active Transportation: New bike facility miles,Active Transportation: Bike growth factor,Active Transportation: E-bike % of bike miles,Active Transportation: Share of <2 mi trips converted to walk,Active Transportation: Prior drive mode share of new bike & walk trips:,CAV (Private),% CAV market penetration: LDV,% CAV market penetration: MDT,CAV technology: LDV,CAV technology: MDV,CAV efficiency improvement,CAV - % VMT change: LDV,CAV - % VMT change: MDT,Smart Mobility: Change in auto owership,Ridehailing: Technology,Ridehailing: Market penetration,Ridehailing: Vehicle occupancy: work,Ridehailing: Vehicle occupancy: non-work,Ridehailing: Circuity/deadhead factor,Ridehailing: Prior drive mode share,Demand Reponsive: Technology,Demand Reponsive: Market penetration,Demand Reponsive: Vehicle occupancy,Demand Reponsive: Circuity/deadhead factor,Demand Reponsive: Prior drive mode share,Demand Reponsive: % electric vehicle,Pricing,Pricing: Carbon price change,"Pricing: Fuel cost change (gasoline, diesel)",Pricing: Price change per vehicle-trip ,Pricing: Price change per VMT,Pricing: Elasticity: VMT w/r/t fuel price (LDV),TDM: Additional % workers receiving transit benefit:,TDM: Additional % workers receiving transit benefit: <50 workers,TDM: Additional % workers receiving transit benefit: 50-100 workers,TDM: Additional % workers receiving transit benefit: >100 workers,TDM: Additional % workers at workplace w/TDM program,TDM: Additional % workers at workplace w/TDM program: <50 workers,TDM: Additional % workers at workplace w/TDM program: 50-100 workers,TDM: Additional % workers at workplace w/TDM program: >100 workers,TDM: Additional % workers at workplace w/TDM program: Change in drive-alone mode share w/TDM program,Residential TDM:,Residential TDM: % of residential growth in TDM regulated units,Residential TDM: Mode shift of affected residents,GHG Change 2030: Clean Vehicles,GHG Change 2030: Land Use,GHG Change 2030: Transit,GHG Change 2030: Active Transportation,GHG Change 2030: CAV,GHG Change 2030: Smart Mobility,GHG Change 2030: Travel Pricing,GHG Change 2030: TDM,GHG Change 2030: Combined,GHG Change 2050: Clean Vehicles,GHG Change 2050: Land Use,GHG Change 2050: Transit,GHG Change 2050: Active Transportation,GHG Change 2050: CAV,GHG Change 2050: Smart Mobility,GHG Change 2050: Travel Pricing,GHG Change 2050: TDM,GHG Change 2050: Combined
113,201,57,31,63,22,26,24,False,60,28,49,117,49,66,54,22,36,gasoline,elasticity,59,61,77,36,78,True,56,54,baseline,EV,5,28,90,3,fleet average,30,14,20,17,63,EV,19,108,17,94,80,True,8,249,4,15,45,True,21,8,28,False,44,6,37,72,True,52,54,-616809.1628468651,0.0,-6113.2093054899415,-49363.7524375805,0.0,-312814.38008206716,0.0,0.0,506318.9510508052,-3011.734652261599,0.0,-3616.8904038363,-70520.3889906708,0.0,-138270.88883386407,0.0,0.0,984262.9773454275
114,134,27,39,98,42,54,5,True,57,73,24,209,89,63,123,2,23,diesel,elasticity,18,12,71,20,64,True,19,97,EV,EV,30,76,46,16,fleet average,28,19,17,15,2,EV,14,44,13,90,36,False,42,385,7,17,40,False,48,43,41,False,13,41,35,86,True,63,52,-510009.0042085865,0.0,-33479.17219987567,-1591.1387283296742,0.0,-176486.38940559424,0.0,0.0,750911.788242281,-3013.0934611043194,0.0,-7695.278313236637,-60651.53560601962,0.0,-141428.00006807462,0.0,0.0,986544.8349051094
115,388,63,45,87,100,7,7,False,63,16,88,44,45,83,68,8,0,diesel,growth factor,163,61,19,57,29,True,15,43,baseline,baseline,34,75,47,17,fleet average,15,10,12,10,9,fleet average,17,75,13,48,90,False,96,48,9,14,36,True,13,1,46,True,15,31,19,4,True,32,62,-469493.27654803917,0.0,22113.42105366584,-18353.703687473444,0.0,6517.259221910295,0.0,0.0,995319.832046081,-3014.180508178426,0.0,-2606.939207311993,-35979.40214439164,0.0,-149319.26269539597,0.0,0.0,1004782.8039011864
116,207,4,26,55,38,44,78,False,10,43,16,287,106,75,107,40,35,electricity,elasticity,165,100,21,5,34,False,100,72,EV,baseline,49,39,76,1,fleet average,8,29,23,16,99,EV,21,63,14,82,58,False,20,88,7,11,23,True,28,42,0,True,46,0,41,69,True,40,95,-199417.28436834202,0.0,-19207.212044704036,-38133.54840149063,0.0,-604280.3407091688,0.0,0.0,626762.0399968869,-3017.7134111695923,0.0,-3247.5681676636577,-39503.99263890993,0.0,-139852.9211808416,0.0,0.0,1010299.638104999
117,347,66,6,98,28,70,17,True,23,17,141,151,107,102,18,4,44,gasoline,growth factor,5,89,65,5,55,False,4,32,baseline,EV,25,9,62,12,EV,18,21,30,20,57,fleet average,8,97,19,96,28,True,98,114,10,18,15,True,16,29,43,True,19,43,15,62,False,70,67,-453550.9975130153,0.0,6902.249344465996,-53386.66238373239,0.0,-274355.95490881806,0.0,0.0,704644.3851341537,-3019.8875053179218,0.0,-1288.6691807485354,-54307.27271588671,0.0,-133541.90800763082,0.0,0.0,1004967.9271039041
118,367,83,33,92,100,90,61,False,77,1,112,448,144,23,6,16,2,CNG,elasticity,127,54,58,14,89,True,11,8,EV,baseline,41,92,7,13,fleet average,10,19,11,19,67,fleet average,22,82,13,5,85,False,74,341,5,16,10,False,11,19,13,True,22,40,10,9,False,87,91,-658822.3335993238,0.0,-3817.046669190724,-48620.63440854792,0.0,216998.59282822997,0.0,0.0,977662.2781752609,-3021.246314160642,0.0,-1706.1337819536313,-78274.48807861104,0.0,-135120.90940927417,0.0,0.0,981952.846780712
119,141,64,22,6,11,41,16,False,24,36,87,301,129,115,63,6,15,CNG,elasticity,28,25,41,20,39,False,21,30,baseline,baseline,24,81,46,20,EV,15,24,30,19,51,fleet average,15,67,14,7,94,False,79,12,2,1,34,True,14,10,4,True,49,46,43,56,False,41,28,-671498.8530027523,0.0,3904.58395438864,-7273.08067856235,0.0,-64564.72485151127,0.0,0.0,718183.1006769524,-3014.7240317155374,0.0,-3090.6261878510004,-43028.58313342822,0.0,-135116.63025336456,0.0,0.0,1011895.6978364763
120,112,43,40,95,20,0,33,False,16,44,147,26,110,126,48,14,59,electricity,elasticity,51,88,28,50,52,True,95,88,baseline,baseline,47,93,51,20,EV,8,25,22,11,17,EV,1,99,19,85,27,True,62,247,6,19,10,False,1,26,41,True,32,12,9,68,True,55,40,-698551.5416837037,0.0,-19034.291946902264,-50660.83991700281,0.0,-150317.35964108075,0.0,0.0,578269.3945046827,-3021.246314160642,0.0,-3552.239041945371,-52192.51841917575,0.0,-147745.78854532255,0.0,0.0,991379.9420617698
121,149,76,10,80,4,97,30,True,34,21,51,379,121,45,70,22,3,CNG,elasticity,106,77,71,25,48,True,8,30,baseline,baseline,27,6,65,17,EV,11,20,27,16,85,EV,16,41,14,51,65,False,57,360,2,16,34,False,25,28,19,False,42,45,22,65,True,46,21,-770132.5216654515,0.0,6320.5276534207005,-39819.76874280177,0.0,-140777.3588580464,0.0,0.0,532407.0764011178,-3014.7240317155374,0.0,-2048.695466766972,-49372.84602356112,0.0,-139850.95992938272,0.0,0.0,1002654.637453228
122,350,84,42,92,56,81,12,True,9,9,15,447,66,110,61,32,15,CNG,growth factor,60,79,12,28,21,True,45,10,baseline,baseline,14,20,33,10,EV,27,28,29,16,55,fleet average,0,144,20,76,27,True,26,316,5,3,28,False,48,33,37,False,31,4,46,49,False,23,47,-662722.3201789884,0.0,18592.960392329154,-18026.595624770864,0.0,-32735.503913893226,0.0,0.0,760639.5821508464,-3016.354602326872,0.0,-50.86720016299623,-30340.057353162403,0.0,-139852.02969696186,0.0,0.0,1021085.6499180038
123,271,95,65,30,81,19,53,True,42,15,53,336,49,12,41,7,0,electricity,elasticity,186,65,67,11,50,True,23,37,EV,EV,34,0,19,6,EV,9,20,25,15,87,fleet average,16,109,16,24,40,True,99,381,1,2,40,True,49,49,50,True,21,3,29,52,False,27,18,-934007.801065931,0.0,8222.591800724593,-33837.30698228043,0.0,407985.8353602461,0.0,0.0,913417.6369119618,-3013.0934611043194,0.0,-1773.0484740590273,-50782.68222136843,0.0,-141428.00006807462,0.0,0.0,1000142.3496353944
124,233,90,3,0,14,92,98,False,50,84,127,302,121,61,125,14,37,electricity,growth factor,147,30,96,58,12,True,45,89,EV,baseline,9,8,51,7,fleet average,12,11,27,20,23,EV,5,41,17,3,30,False,35,370,4,2,43,False,50,28,47,True,47,26,49,84,True,90,9,-690576.4696247345,0.0,-71570.1579285169,-2688.514965533624,0.0,71509.94905450997,0.0,0.0,794247.8210904383,-3012.278175798594,0.0,-8471.121283342069,-23995.794463029488,0.0,-133536.9157367366,0.0,0.0,1025555.6329297128
125,265,2,62,37,59,9,60,False,42,97,13,129,155,75,73,32,6,gasoline,elasticity,163,60,33,47,52,True,24,56,EV,EV,50,5,33,9,fleet average,10,18,11,17,24,EV,13,44,17,73,89,False,2,356,0,6,29,True,11,11,25,False,45,26,19,37,False,42,70,-298439.81214570603,0.0,2547.8607716059687,-32357.710789464385,0.0,-126777.91046829362,0.0,0.0,1009560.4531972368,-3016.082840558258,0.0,-9397.648790902498,-52192.51841917575,0.0,-138273.74150936867,0.0,0.0,995488.7342709533
126,395,41,60,3,74,30,80,False,8,62,82,248,76,83,57,3,27,diesel,elasticity,151,17,27,10,44,False,65,21,EV,baseline,24,38,87,16,fleet average,9,20,26,19,27,EV,18,117,12,11,16,True,68,10,5,4,4,False,2,34,31,False,5,29,2,48,False,67,75,-448144.3754727021,0.0,-1164.6268992291202,-3825.2636550860275,0.0,-26732.243997776415,0.0,0.0,977684.9239364064,-3022.8768847719766,0.0,-4943.681202971872,-46553.1736279465,0.0,-135121.97923391624,0.0,0.0,1007201.1185140188
127,85,11,70,89,94,21,52,True,50,43,57,498,90,29,127,23,51,diesel,elasticity,173,27,12,15,31,False,95,73,EV,EV,4,10,61,0,fleet average,18,12,14,19,79,fleet average,7,64,10,53,57,True,89,112,6,1,6,True,29,34,9,False,12,5,21,18,False,97,83,-623344.101488415,0.0,-59565.85010635983,-6589.818563398418,0.0,24026.584958450556,0.0,0.0,817839.6691249128,-3022.333361234865,0.0,-4658.821124920328,-37389.23834219896,0.0,-135121.62262411707,0.0,0.0,1015512.9911156016
128,2,74,22,19,39,66,66,False,24,30,101,79,168,130,138,21,9,electricity,elasticity,6,93,35,44,64,True,44,63,baseline,baseline,24,48,47,4,EV,22,17,14,19,62,fleet average,24,55,20,83,95,True,0,283,3,11,37,False,31,46,23,True,10,45,5,52,True,98,68,-1005895.8769144166,0.0,-4434.774537760514,-66449.84831061258,0.0,-193618.0915375204,0.0,0.0,243959.7457344156,-3013.9087464099284,0.0,-2532.7286036917226,-60651.53560601962,0.0,-135116.0953749244,0.0,0.0,996826.9329890483
129,123,97,7,41,9,17,68,True,14,89,128,212,120,74,27,4,19,CNG,elasticity,89,18,72,59,82,False,93,100,EV,EV,25,35,58,10,EV,28,30,14,13,91,fleet average,18,59,14,54,72,True,96,7,3,17,2,False,27,14,46,True,40,43,38,30,True,89,15,-987682.309579656,0.0,-4414.86727314075,-8172.443994792476,0.0,29083.599497529856,0.0,0.0,493031.9248027493,-3023.420408309088,0.0,-7665.9082752771255,-73340.06138628544,0.0,-144590.99519733683,0.0,0.0,972533.1105905568
130,28,36,17,0,3,92,70,True,70,12,71,196,175,125,142,1,38,diesel,elasticity,167,17,96,15,58,False,90,59,baseline,EV,19,19,20,13,fleet average,29,14,27,12,50,EV,8,83,15,69,79,True,54,342,5,16,9,False,1,41,18,False,6,14,34,75,False,45,70,-505517.6022860006,0.0,-6442.3514193386945,-5067.733317355535,0.0,-286598.52671590826,0.0,0.0,658568.069031303,-3021.518075929256,0.0,-2481.9767520590576,-56422.0270125977,0.0,-146167.85695643278,0.0,0.0,990087.2173430097
131,14,8,17,78,47,31,36,True,26,58,104,187,175,88,58,21,53,CNG,elasticity,11,49,57,30,49,False,77,70,baseline,EV,13,41,65,7,fleet average,30,14,27,19,70,fleet average,15,82,12,71,33,True,73,167,3,7,47,False,2,1,43,False,34,33,11,100,True,55,40,-265391.8673985164,0.0,-39701.01401953291,-23889.30027748488,0.0,-449592.8597743739,0.0,0.0,708906.6993914748,-3011.1911287244875,0.0,-5206.813310964521,-50077.76412246478,0.0,-135114.3124725463,0.0,0.0,1003894.0242413441
132,289,72,99,72,73,9,87,False,75,72,60,96,159,115,13,13,35,gasoline,elasticity,166,89,26,18,40,False,63,6,baseline,EV,41,44,14,18,fleet average,17,11,19,14,100,EV,3,142,10,60,32,False,70,113,3,5,21,True,39,45,13,True,38,49,5,36,False,96,94,-956202.6912472011,0.0,-5034.265604016704,-39298.37236593041,0.0,366602.2962458584,0.0,0.0,840022.9060745729,-3018.2569347067038,0.0,-8237.359213308928,-43733.50123233187,0.0,-143009.49756117942,0.0,0.0,999337.864105777
133,70,83,22,14,17,34,60,False,94,60,144,372,151,130,133,29,32,electricity,growth factor,150,87,17,57,7,False,5,99,baseline,baseline,1,49,60,15,EV,29,13,15,16,10,fleet average,22,102,15,53,75,False,31,235,3,13,48,True,32,18,13,True,37,26,47,6,False,89,9,-972136.2759935308,0.0,-73208.9592202897,-6684.235191040079,0.0,2393.878812100338,0.0,0.0,459612.7403542824,-3010.9193669558736,0.0,-7791.909199687288,-20471.203968511214,0.0,-139848.46386050593,0.0,0.0,1023083.6885119814
134,23,8,99,86,67,55,12,True,50,39,146,106,82,108,84,23,23,CNG,elasticity,112,66,14,18,87,False,60,43,EV,baseline,26,60,46,15,EV,4,13,18,10,86,EV,25,63,17,22,13,True,40,350,4,8,37,True,14,38,24,False,19,42,20,3,True,17,73,-811444.0521439256,0.0,-17422.70447746391,-60958.89663690287,0.0,-203219.78156172257,0.0,0.0,417723.33546544163,-3013.9087464099284,0.0,-4286.889402147476,-76864.65188080372,0.0,-149319.0844029788,0.0,0.0,967836.2953912099
135,272,7,45,29,47,46,67,False,67,5,31,387,39,108,29,40,40,CNG,elasticity,1,91,23,31,85,False,82,8,EV,baseline,5,46,57,7,EV,23,23,30,19,44,EV,25,136,10,64,71,True,4,105,0,2,19,False,26,38,8,False,17,6,45,21,True,21,23,-262104.41327103227,0.0,-6607.550364827528,-86170.89749514432,0.0,-541724.7653538908,0.0,0.0,610713.2778806358,-3018.800458243699,0.0,-1725.252265412316,-75454.8156829964,0.0,-135119.30469906,0.0,0.0,984429.7742533227
136,142,98,13,52,61,7,0,False,6,26,131,497,80,11,66,24,42,electricity,growth factor,115,13,26,32,37,True,92,44,baseline,baseline,0,3,78,10,EV,0,27,20,20,30,fleet average,11,53,19,26,74,False,50,74,6,9,20,True,34,16,5,False,25,40,41,85,True,44,98,-975612.9601215638,0.0,-10280.395547193442,-1383.9645918643394,0.0,70576.04186529035,0.0,0.0,546475.0974760883,-3018.5286964752013,0.0,-1525.7330501533684,-41618.746935620904,0.0,-133541.01650790044,0.0,0.0,1015988.6704164802
137,119,97,79,2,69,0,100,True,85,49,142,232,178,7,7,25,35,electricity,elasticity,168,84,50,46,44,True,23,78,baseline,EV,45,99,42,20,fleet average,1,23,30,17,66,EV,1,44,12,33,47,True,96,359,0,10,18,False,39,8,43,False,46,7,48,13,True,42,13,-1395828.7243305217,0.0,-7120.499289240761,-40495.7523869401,0.0,1969056.3622869395,0.0,0.0,1963061.7023637418,-3019.0722200123128,0.0,-6451.565046679192,-46553.1736279465,0.0,-138275.70278262196,0.0,0.0,1002909.9287198335
138,128,41,91,88,82,34,100,False,8,31,83,156,15,145,57,14,60,CNG,elasticity,172,18,83,31,23,False,38,55,baseline,baseline,40,2,80,5,fleet average,30,18,29,11,42,fleet average,11,72,15,77,74,False,96,279,9,11,42,False,50,2,4,False,31,5,40,26,False,42,26,-976639.683866821,0.0,-11214.908407247962,-2245.0058229281444,0.0,-48932.47367039337,0.0,0.0,426376.2202526137,-3012.549937567208,0.0,-2061.2103514822675,-31749.89355096971,0.0,-147740.0830548307,0.0,0.0,1010462.3438073992
139,41,75,42,5,83,50,86,True,52,8,112,477,62,104,51,1,53,diesel,growth factor,90,65,40,36,83,True,60,11,EV,EV,26,49,19,11,EV,6,14,14,10,43,EV,12,43,13,3,12,False,91,303,0,2,21,True,12,37,50,False,44,29,18,92,True,58,37,-1102811.4575238898,0.0,1218.8345612247313,-57082.272735013554,0.0,24909.782024137996,0.0,0.0,363503.1814472589,-3018.2569347067038,0.0,-1474.981198520704,-74044.9794851891,0.0,-149321.9371292036,0.0,0.0,972579.3058165081
140,96,10,94,81,1,85,49,True,80,33,121,293,28,15,64,25,49,electricity,growth factor,128,19,75,13,87,True,62,27,EV,EV,4,75,9,18,fleet average,14,26,20,13,70,fleet average,7,73,17,31,37,True,99,388,6,19,36,True,0,33,26,False,48,5,26,89,False,36,20,-709527.8815959715,0.0,-21521.295856907887,-9764.379259808615,0.0,-171108.34352635517,0.0,0.0,562980.5677006673,-3014.180508178426,0.0,-4787.4315359307,-76864.65188080372,0.0,-144584.93301937784,0.0,0.0,971838.4513178846
141,47,35,2,63,21,59,47,False,66,34,31,371,165,95,28,19,20,gasoline,elasticity,174,74,74,32,48,False,61,43,EV,baseline,3,61,65,1,EV,19,10,26,14,15,EV,8,130,12,9,15,False,34,24,6,2,26,True,4,15,16,False,5,3,44,43,True,80,32,-427758.44480968313,0.0,-6261.817934221179,-38299.34275958129,0.0,94644.10182347153,0.0,0.0,1088568.9310067117,-3016.8981258639833,0.0,-4386.475931584079,-49372.84602356112,0.0,-143008.60607333703,0.0,0.0,997665.0227367041
142,106,25,75,49,23,9,1,True,29,39,144,119,151,69,133,4,60,gasoline,growth factor,135,64,38,43,56,True,88,2,EV,baseline,31,35,91,7,fleet average,27,24,15,11,28,EV,24,43,17,47,51,True,92,338,0,8,4,True,3,13,50,True,9,3,3,8,False,12,24,-691158.6344874796,0.0,-59986.10935404744,-37741.20964815231,0.0,-109690.20585634394,0.0,0.0,611801.503656742,-3022.8768847719766,0.0,-3545.9815995877243,-55012.19081479038,0.0,-147746.85836996458,0.0,0.0,988927.2903478007
143,295,17,19,11,4,88,33,False,67,22,102,388,130,36,34,14,24,CNG,elasticity,48,96,49,1,32,True,18,68,EV,baseline,12,19,44,6,fleet average,29,26,18,12,10,EV,14,39,12,10,10,False,88,214,6,0,17,False,10,48,5,False,3,33,32,38,False,21,56,-187183.10150257312,0.0,45.42743724054526,-33698.71400852112,0.0,347670.5442835839,0.0,0.0,1579045.1840830978,-3019.3439817808103,0.0,-3305.9620871969382,-38094.15644110262,0.0,-146166.43054259822,0.0,0.0,1005391.0565380622
144,350,72,23,66,13,94,49,True,37,61,60,245,109,56,103,40,12,gasoline,elasticity,28,80,87,37,18,True,70,91,EV,baseline,44,7,7,1,fleet average,18,20,21,12,70,fleet average,1,43,13,70,100,True,32,332,4,20,33,True,31,30,41,True,47,43,4,84,True,49,33,-509699.87890245277,0.0,6328.367902658594,-14305.308735149129,0.0,-32718.9598622507,0.0,0.0,908458.9228734288,-3014.9957934841514,0.0,-5873.856666289744,-28225.303056451427,0.0,-146163.57779101282,0.0,0.0,1011813.5305983704
145,123,0,28,75,83,24,95,False,64,41,25,54,100,40,118,17,53,gasoline,elasticity,137,70,26,10,94,False,92,51,EV,baseline,43,27,30,11,EV,20,28,19,18,4,fleet average,23,94,19,79,64,True,78,334,3,9,24,True,39,39,38,False,8,30,11,47,True,84,69,-242753.38830125052,0.0,-50141.211358578366,-70567.21718617278,0.0,-589451.2982540394,0.0,0.0,573046.7686200663,-3017.4416494009783,0.0,-4966.793798573736,-81799.0785731293,0.0,-136696.52309926104,0.0,0.0,974699.5629686994
146,208,6,97,93,60,49,88,True,91,60,96,271,91,110,143,25,34,CNG,elasticity,185,34,92,10,97,True,64,78,baseline,EV,6,41,62,17,EV,23,25,29,18,16,fleet average,10,47,12,98,37,False,36,220,5,13,43,False,9,34,4,False,50,11,1,10,True,80,3,-580700.8446616944,0.0,-57325.949497697526,-28894.107358900743,0.0,-219811.68748964072,0.0,0.0,617107.9387272984,-3012.278175798594,0.0,-7686.0652278930365,-83913.83286984029,0.0,-136693.1355207487,0.0,0.0,970617.5880348135
147,166,95,30,29,58,32,56,False,94,48,103,216,156,141,1,23,60,electricity,elasticity,158,41,35,11,16,False,21,42,EV,baseline,34,71,87,19,EV,22,21,11,17,75,fleet average,8,86,10,25,42,True,71,185,0,11,15,False,2,29,1,False,3,10,32,94,True,9,6,-1017951.9545347735,0.0,-12867.528611698035,-6091.60407776787,0.0,54215.7975568477,0.0,0.0,485794.5857786527,-3019.8875053179218,0.0,-6676.114031368731,-26815.466858644115,0.0,-138276.23768364897,0.0,0.0,1020016.4367466648
148,171,48,5,62,52,68,17,True,22,87,119,143,67,107,51,6,12,diesel,elasticity,80,68,7,58,13,True,62,87,baseline,EV,31,32,13,10,fleet average,0,17,12,17,63,fleet average,13,115,10,52,20,True,36,152,10,1,44,True,4,9,5,False,8,4,46,95,True,65,57,-458451.94496427814,0.0,-348.2012789956288,-9410.015584143446,0.0,-292160.78015070374,0.0,0.0,700582.903226874,-3012.0064140300965,0.0,-7762.193005342036,-24700.712561933142,0.0,-138271.06712311128,0.0,0.0,1020945.1468088676
149,327,16,46,67,88,83,61,True,29,22,88,190,81,66,61,40,48,diesel,elasticity,99,78,18,49,86,True,20,5,baseline,baseline,47,54,38,17,EV,1,18,23,12,10,EV,7,56,11,46,88,True,37,256,3,7,19,True,5,11,34,False,20,25,10,76,True,31,85,-314611.6192077516,0.0,-1512.188275589854,-73284.59371170179,0.0,-212764.60310296481,0.0,0.0,880890.8832461104,-3018.800458243699,0.0,-1965.2717778031006,-76159.73378190008,0.0,-146166.07394310232,0.0,0.0,973285.8112823555
150,239,39,41,46,72,37,14,False,59,1,104,55,109,97,77,24,29,gasoline,elasticity,155,80,32,46,70,False,20,42,EV,EV,45,1,17,5,EV,15,19,26,13,78,fleet average,24,121,12,19,79,True,60,81,6,7,24,True,6,0,49,True,13,48,37,44,True,5,20,-499074.29279809736,0.0,10580.60729897871,-61164.32937290566,0.0,-117239.52143145708,0.0,0.0,810180.8097774878,-3017.4416494009783,0.0,-1071.0699511881296,-64881.04419944156,0.0,-144587.0725592913,0.0,0.0,985367.5353172842
151,386,14,67,20,51,56,57,False,45,42,40,358,15,96,50,24,38,CNG,elasticity,197,72,69,17,99,False,97,39,baseline,baseline,5,74,86,17,EV,0,19,20,12,61,fleet average,1,96,19,33,20,True,30,17,6,5,30,True,48,49,25,True,33,10,13,29,False,51,99,-286189.3747331664,0.0,-4991.9968293364245,-76100.71870230447,0.0,-162084.8534158513,0.0,0.0,951703.6900752386,-3015.8110787897604,0.0,-4389.431574570031,-85323.66906764761,0.0,-146164.112674208,0.0,0.0,963319.368359467
152,186,52,25,73,39,98,46,True,87,14,46,111,32,113,72,4,8,electricity,elasticity,132,71,90,51,70,True,50,49,baseline,EV,50,23,5,7,fleet average,16,19,29,14,39,fleet average,3,95,17,67,77,False,81,66,10,11,11,True,36,17,50,True,45,28,0,94,False,35,50,-624347.7113566976,0.0,12779.215103503037,-52846.45082912562,0.0,-91996.59925880749,0.0,0.0,718988.5764341966,-3020.9745523921447,0.0,-3267.7251202795687,-64881.04419944156,0.0,-143011.28056658438,0.0,0.0,985030.5526006648
153,242,70,19,11,34,67,63,False,0,56,56,125,177,144,132,18,21,gasoline,growth factor,82,24,79,55,10,True,20,14,EV,baseline,18,73,20,19,fleet average,10,28,19,16,13,fleet average,12,133,19,47,87,False,41,16,9,13,11,False,37,44,12,False,36,44,38,100,True,9,45,-639463.0938977641,0.0,-4173.535334874453,-1563.6988277789053,0.0,-175796.1778321837,0.0,0.0,638139.9175857143,-3020.9745523921447,0.0,-4103.533027361261,-22585.958265222172,0.0,-139855.06078257225,0.0,0.0,1024402.8370413113
154,243,69,43,44,98,65,2,True,9,36,111,95,7,89,144,18,19,diesel,growth factor,96,62,18,37,17,True,66,79,baseline,baseline,31,79,72,17,EV,17,14,25,19,10,fleet average,18,142,17,15,49,False,90,163,0,12,2,False,24,41,36,True,11,18,44,80,True,79,57,-767976.5363412101,0.0,7256.4968822002365,-10939.930801352206,0.0,23567.943727760896,0.0,0.0,709686.4797995981,-3023.420408309088,0.0,-2561.4063288797493,-27520.384957547773,0.0,-135122.33584530052,0.0,0.0,1026012.1988101611
155,177,15,3,23,61,36,16,True,67,49,66,167,13,42,132,14,17,electricity,growth factor,175,92,51,11,82,True,85,12,baseline,EV,18,79,88,0,fleet average,16,10,21,12,61,EV,18,31,10,95,14,True,67,384,0,7,49,False,33,7,28,True,7,30,7,11,True,60,1,-138138.103720085,0.0,-8648.05906940622,-83836.95661846323,0.0,-435923.20184571855,0.0,0.0,826143.4263600827,-3010.647605187376,0.0,-5816.501215913692,-73340.06138628544,0.0,-146160.7251408678,0.0,0.0,972599.5299074113
156,313,1,9,72,32,87,37,False,55,6,148,147,23,18,53,19,6,gasoline,elasticity,94,51,86,60,20,True,6,26,EV,EV,0,89,12,6,fleet average,23,15,12,17,88,fleet average,20,114,11,99,30,True,68,167,1,19,43,False,12,49,49,True,8,17,37,22,True,76,25,-62421.76277351449,0.0,11473.275467955145,-9509.818278815514,0.0,-616080.876592663,0.0,0.0,778427.5965140292,-3012.278175798594,0.0,-1394.859308928528,-29635.139254258742,0.0,-138271.24541275477,0.0,0.0,1022096.2718120466
157,355,27,71,88,46,89,34,False,25,84,95,336,84,68,67,11,49,electricity,elasticity,44,63,88,58,97,True,28,55,baseline,baseline,8,35,82,8,EV,4,16,18,19,73,fleet average,12,83,12,92,13,False,4,175,5,11,49,False,7,11,40,False,2,49,39,16,False,78,51,-393768.2788145157,0.0,-45590.21948772244,-63505.94400595234,0.0,-293355.82213471783,0.0,0.0,712239.7079401342,-3010.647605187376,0.0,-7589.088185056644,-83913.83286984029,0.0,-135113.95589682547,0.0,0.0,972157.1920384738
158,389,68,91,82,25,55,12,False,24,11,117,199,142,71,4,32,26,electricity,growth factor,46,31,68,29,2,True,94,95,EV,baseline,26,63,18,12,EV,10,16,25,15,33,fleet average,23,125,16,74,18,False,70,231,3,15,49,False,47,31,24,False,9,4,34,37,True,52,45,-586343.478153278,0.0,1226.5992716251358,-124.08680946668022,0.0,216202.86342318612,0.0,0.0,1086603.3511009559,-3010.647605187376,0.0,-766.0529205206739,-16946.613473992926,0.0,-141426.39546484966,0.0,0.0,1030705.7959892728
159,65,65,84,85,42,6,88,False,30,14,29,180,19,132,38,22,25,electricity,growth factor,140,95,73,29,32,True,11,58,baseline,baseline,45,86,81,7,EV,19,26,21,16,75,fleet average,14,61,13,38,71,True,49,306,9,10,50,False,46,48,26,True,2,17,11,92,False,70,17,-1260329.826707117,0.0,1982.8954447017009,-33771.28348410056,0.0,183133.3215499912,0.0,0.0,370444.32037610025,-3010.375843418762,0.0,-1256.6896561888134,-38094.15644110262,0.0,-139848.1072855776,0.0,0.0,1013244.6188762152
160,53,18,78,17,16,57,63,False,88,50,18,455,41,82,62,0,59,gasoline,elasticity,138,78,15,1,61,True,53,23,EV,baseline,46,86,14,14,fleet average,25,23,15,16,5,fleet average,13,58,17,64,70,True,84,298,3,10,41,False,28,33,36,False,36,14,48,6,False,1,45,-692467.4927665505,0.0,-35843.37683332589,-51899.21938544153,0.0,-74365.73749976655,0.0,0.0,648164.7153477886,-3012.8216993357055,0.0,-6650.3919491666575,-58536.78130930867,0.0,-139849.71188523644,0.0,0.0,990756.6113869647
