experiment,Grid GHG intensity,Light-duty vehicles: % of LDV stock: EV,Light-duty vehicles: % of LDV stock: PHEV,Trucks: % of MDT stock: EV,Transit vehicles: % of transit bus fleet: EV,Transit vehicles: % of school bus fleet: EV,Transit vehicles: % of commuter rail electrified,Land Use,Prior drive mode share of new riders: bus,Prior drive mode share of new riders: urban rail,Operational improvements: Ridership elasticity,Operational improvements: One-way length of bus routes w/op. improvements,Operational improvements: % travel time savings,New service: New one-way route-miles: rapid bus,New service: New one-way route-miles: urban rail,New service: Average load factor: new rapid bus,New service: Average load factor: new urban rail,New service: Fuel type of new bus service,Active Transportation: Use growth factor or elasticity?,Active Transportation: New bike facility miles,Active Transportation: Bike growth factor,Active Transportation: E-bike % of bike miles,Active Transportation: Share of <2 mi trips converted to walk,Active Transportation: Prior drive mode share of new bike & walk trips:,CAV (Private),% CAV market penetration: LDV,% CAV market penetration: MDT,CAV technology: LDV,CAV technology: MDV,CAV efficiency improvement,CAV - % VMT change: LDV,CAV - % VMT change: MDT,Smart Mobility: Change in auto owership,Ridehailing: Technology,Ridehailing: Market penetration,Ridehailing: Vehicle occupancy: work,Ridehailing: Vehicle occupancy: non-work,Ridehailing: Circuity/deadhead factor,Ridehailing: Prior drive mode share,Demand Reponsive: Technology,Demand Reponsive: Market penetration,Demand Reponsive: Vehicle occupancy,Demand Reponsive: Circuity/deadhead factor,Demand Reponsive: Prior drive mode share,Demand Reponsive: % electric vehicle,Pricing,Pricing: Carbon price change,"Pricing: Fuel cost change (gasoline, diesel)",Pricing: Price change per vehicle-trip ,Pricing: Price change per VMT,Pricing: Elasticity: VMT w/r/t fuel price (LDV),TDM: Additional % workers receiving transit benefit:,TDM: Additional % workers receiving transit benefit: <50 workers,TDM: Additional % workers receiving transit benefit: 50-100 workers,TDM: Additional % workers receiving transit benefit: >100 workers,TDM: Additional % workers at workplace w/TDM program,TDM: Additional % workers at workplace w/TDM program: <50 workers,TDM: Additional % workers at workplace w/TDM program: 50-100 workers,TDM: Additional % workers at workplace w/TDM program: >100 workers,TDM: Additional % workers at workplace w/TDM program: Change in drive-alone mode share w/TDM program,Residential TDM:,Residential TDM: % of residential growth in TDM regulated units,Residential TDM: Mode shift of affected residents,GHG Change 2030: Clean Vehicles,GHG Change 2030: Land Use,GHG Change 2030: Transit,GHG Change 2030: Active Transportation,GHG Change 2030: CAV,GHG Change 2030: Smart Mobility,GHG Change 2030: Travel Pricing,GHG Change 2030: TDM,GHG Change 2030: Combined,GHG Change 2050: Clean Vehicles,GHG Change 2050: Land Use,GHG Change 2050: Transit,GHG Change 2050: Active Transportation,GHG Change 2050: CAV,GHG Change 2050: Smart Mobility,GHG Change 2050: Travel Pricing,GHG Change 2050: TDM,GHG Change 2050: Combined
304,160,54,55,86,29,12,0,False,14,64,115,401,9,17,110,25,24,electricity,elasticity,199,27,95,6,72,True,33,87,baseline,EV,9,34,24,8,EV,29,27,13,12,89,EV,12,129,18,86,88,True,64,336,10,15,23,True,36,18,6,False,14,10,14,32,True,96,2,-797952.0238495924,0.0,-26412.309210249514,-15166.52148724477,0.0,-205807.9164295789,0.0,0.0,439334.3034904183,-3017.7134111695923,0.0,-5341.335007946799,-66290.88039724888,0.0,-146165.3607488658,0.0,0.0,979116.9602850878
305,173,34,8,90,63,64,54,True,84,100,47,152,41,48,113,40,20,gasoline,elasticity,143,24,38,33,80,False,42,30,baseline,EV,11,10,4,18,EV,30,17,21,20,38,EV,6,103,12,49,16,False,74,343,0,4,14,False,13,8,11,True,4,15,15,21,False,84,40,-405260.5433923609,0.0,-46105.452860294514,-13986.3169671636,0.0,-16723.534796952437,0.0,0.0,991577.5009145342,-3020.1592670865357,0.0,-11158.413188101644,-71930.22518847813,0.0,-133542.08630876572,0.0,0.0,981172.701840371
306,26,22,80,19,40,8,32,False,17,68,90,251,62,68,142,2,4,electricity,growth factor,61,75,17,28,54,True,59,80,EV,EV,21,8,61,6,fleet average,8,17,13,18,15,fleet average,2,115,15,97,89,False,20,179,8,12,20,False,31,7,7,True,19,11,9,34,False,16,31,-765358.3251696576,0.0,-2455.049021985411,-43908.268570814456,0.0,-30408.209603709864,0.0,0.0,639166.4488335255,-3018.5286964752013,0.0,-5819.110702513903,-53602.354616983066,0.0,-136697.23629191256,0.0,0.0,998763.773154779
307,321,64,29,30,71,62,87,True,17,19,42,59,71,14,146,0,46,diesel,elasticity,113,38,29,60,62,True,7,4,EV,EV,5,47,21,16,fleet average,14,21,28,20,68,EV,0,134,18,50,43,True,43,20,3,17,38,False,4,38,22,True,40,16,30,10,True,31,27,-517177.66707797826,0.0,4901.979862036135,-21649.126327926006,0.0,-118004.65833481838,0.0,0.0,811257.6236321336,-3013.636984641431,0.0,-1262.9470985464611,-59241.699408212306,0.0,-133537.80719089747,0.0,0.0,1000635.6256354434
308,275,93,29,50,41,82,20,True,62,52,123,415,33,101,29,1,4,electricity,elasticity,30,46,83,12,3,False,86,1,baseline,EV,0,66,44,6,EV,18,21,16,16,71,EV,14,100,13,57,97,True,98,0,7,0,42,True,36,17,35,True,15,48,4,41,True,50,22,-758027.3205678964,0.0,9677.34334312642,-758.6176531337211,0.0,59341.554950758684,0.0,0.0,761872.1334018846,-3012.549937567208,0.0,-5919.0433883362475,-17651.53157289658,0.0,-139849.53359480045,0.0,0.0,1027169.8995653285
309,43,92,96,93,18,23,46,True,98,94,55,35,200,13,122,29,12,diesel,growth factor,126,60,48,48,22,False,4,36,EV,baseline,49,33,89,4,EV,24,23,26,12,91,EV,20,130,18,93,79,True,6,374,9,17,34,True,36,10,26,False,17,2,7,35,True,70,12,-1654226.869082171,0.0,-30419.82458003672,-13695.866037794442,0.0,9336278.424634667,0.0,0.0,8862880.93872766,-3014.7240317155374,0.0,-11094.454138982197,-31044.975452066057,0.0,-146163.39949740688,0.0,0.0,1004912.2639260447
310,138,66,70,51,22,25,38,False,8,20,51,492,93,144,149,15,47,electricity,growth factor,89,88,84,20,9,False,74,77,baseline,EV,37,82,95,10,EV,3,25,25,17,90,EV,22,56,13,12,31,False,85,14,9,7,34,True,12,19,38,False,13,24,28,64,False,25,61,-1002331.369204618,0.0,-10341.158714520629,-8144.0186340895725,0.0,152582.61318407647,0.0,0.0,598500.8484655854,-3014.7240317155374,0.0,-1038.3981138569234,-21881.040166318515,0.0,-138272.85003737666,0.0,0.0,1029226.7127665224
311,262,85,58,22,30,49,22,True,62,12,68,479,153,53,150,37,4,gasoline,elasticity,192,63,69,14,99,False,77,31,baseline,EV,31,97,75,4,fleet average,15,10,28,14,65,EV,10,115,11,19,44,False,86,245,6,5,8,False,34,4,7,True,22,4,43,62,False,78,44,-901528.0741198305,0.0,19801.363193742385,-65241.696970337536,0.0,109269.30469730493,0.0,0.0,642545.1937035373,-3021.7898376977537,0.0,-2199.7261606077236,-85323.66906764761,0.0,-143011.81547593328,0.0,0.0,968012.9398336054
312,227,36,59,71,63,75,1,True,97,80,95,249,135,84,136,15,28,electricity,growth factor,29,17,81,35,19,True,47,13,EV,EV,50,67,6,10,fleet average,8,24,19,19,96,fleet average,17,73,13,89,81,False,39,36,6,15,17,True,25,37,21,False,36,18,7,22,True,33,23,-594455.9069610619,0.0,-54340.57217193544,-1576.59898156993,0.0,-391522.797461446,0.0,0.0,451913.1434245814,-3019.3439817808103,0.0,-9757.4117853458,-28930.221155355084,0.0,-135119.66129855587,0.0,0.0,1018568.5837369185
313,286,33,19,7,79,29,24,True,40,100,124,222,90,77,3,30,56,electricity,elasticity,49,81,16,20,70,False,56,94,EV,baseline,5,83,12,8,EV,11,30,27,14,88,fleet average,19,51,14,51,61,False,49,252,1,2,48,False,11,22,37,True,1,14,49,34,True,41,74,-279189.5187206204,0.0,-4965.467848221026,-62248.31614708746,0.0,-231074.96287847002,0.0,0.0,902138.2166147626,-3010.9193669558736,0.0,-9606.034935119307,-64881.04419944156,0.0,-143004.68364451802,0.0,0.0,979788.234209848
